"id","title","description","body","ground_truth_id"
"200011","Remote Scene tree does not expand to selected node when search query is performed","Tested versions Reproducible in v4.6.1.stable.arch_linux [14d19694e] System information Godot v4.6.1.stable (14d19694e) - Arch Linux 1 SMP PREEMPT_DYNAMIC Mon, 09 Feb 2026 17:16:33 +0000 on Wayland - X11 display driver, Multi-window, 1 monitor - OpenGL 3 (Compatibility) - AMD ...","Tested versions Reproducible in v4.6.1.stable.arch_linux [14d19694e] System information Godot v4.6.1.stable (14d19694e) - Arch Linux 1 SMP PREEMPT_DYNAMIC Mon, 09 Feb 2026 17:16:33 +0000 on Wayland - X11 display driver, Multi-window, 1 monitor - OpenGL 3 (Compatibility) - AMD Radeon 780M Graphics (radeonsi, phoenix, LLVM 21.1.6, DRM 3.64, 6.18.9-arch1-2) - AMD Ryzen 7 8745HS w/ Radeon 780M Graphics (16 threads) - 28.18 GiB memory defect description https://github.com/user-attachments/assets/9a378032-c531-42db-8cca-07fe4da18383 The tree does not expand while using the ""hide filtered out parents"" setting and ""auto expand to selected"" and selecting a node. Oddly enough, searching a node that is just one level beyond a revealed node and selecting it dose work: https://github.com/user-attachments/assets/7985ca72-1068-4d1b-a4a7-bec300cb6654 Steps to reproduce 1. Click the 3 dots next to the scene tree filter and enable ""auto expand to selected"" and ""hide filtered out parents"" 2. Start the game 3. Go to the remote tab 4. Search a node name that is very nested 5. Select the node 6. Clear the search query 7. The node is not revealed Minimal reproduction project (MRP) nested_node_example_2026-02-26_08-59-04.zip","116807"
"200012","Breakpoints disappear while file is saved in external editor","Tested versions Reproducible in - v4.6.stable.mono.official [89cea1439] - v4.6.1.rc1.mono.official [7bfffc846] - v4.7.dev1.official [bf95b6258] System information Godot v4.6.1.rc1.mono - Fedora Linux 43 (KDE Plasma Desktop Edition) on Wayland - X11 display driver, Multi-window...","Tested versions Reproducible in - v4.6.stable.mono.official [89cea1439] - v4.6.1.rc1.mono.official [7bfffc846] - v4.7.dev1.official [bf95b6258] System information Godot v4.6.1.rc1.mono - Fedora Linux 43 (KDE Plasma Desktop Edition) on Wayland - X11 display driver, Multi-window, 1 monitor - Vulkan (Forward+) - dedicated AMD Radeon RX 9060 XT (RADV GFX1200) - AMD Ryzen 7 9700X 8-Core Processor (16 threads) - 30.49 GiB memory problem description I use both Godot and external editor (vscodium, Version: 1.108.10359; Godot Tools version 2.5.1) to edit gdscript files. Add multiple breakpoints to different gdscript files. 2. Save the file in the external editor without any changes (ie. So this doesn't affect only the saved file. vscodium is connected to Godot language server. 3. just press Ctrl-S). Open _any_ gdscript file from the project in an external editor. I have added breakpoints to the gdscript file. It doesn't matter whether I have made any changes to the file. Steps to reproduce 1. Just pressing Ctrl-S without any code changes in the external editor removes _all breakpoints_ from _all files_. Minimal reproduction project (MRP) N/A I would expect the breakpoints not to disappear. When I save the file in the external editor, the breakpoints disappear in Godot editor. --> all breakpoints disappear.","116672"
"200013","Bug report: node Search does not update context menu position if the content is identical","Problem noted: tested versoins - Reproducible in: 4.6.stable (see below for details on 4.5.1) System information Godot v4.6.stable - Ubuntu 24.04.4 LTS 24.04 on X11 - X11 display driver, Multi-window, 2 monitors - OpenGL 3 (Compatibility) - AMD Radeon 760M Graphics (radeonsi, phoenix, LLVM 2...","Tested versoins - Reproducible in: 4.6.stable (see below for details on 4.5.1) System information Godot v4.6.stable - Ubuntu 24.04.4 LTS 24.04 on X11 - X11 display driver, Multi-window, 2 monitors - OpenGL 3 (Compatibility) - AMD Radeon 760M Graphics (radeonsi, phoenix, LLVM 20.1.2, DRM 3.57, 6.8.0-100-generic) - AMD Ryzen 5 7640U w/ Radeon 760M Graphics (12 threads) - 13.45 GiB memory problem description In the node search, the context menu position of the icons on the right (experimental/deprecated) is not updated if you hover over an identical icon on another line. (also affects 4.5.1) There is also a bug where the context menu does not update/hide until the mouse leaves the `Matches` field but I cannot reproduce that one reliably yet. You know you triggered it once the hovered line does not update any more. Probably got something to do with how long you hover, maybe also how many times you triggered the first part above. I seem to get it after a bit if `NavigationLink2D` is selected, then hovering over NavigationRegion2D` and then just moving between the marks. (could not reproduce in 4.5.1, so might be a regression) The issues are reset when you re-open the window. As a side note, would reserving space on the right for the marks be considered? Could open a proposal for that. Steps to reproduce - Search for a Node, e.g. under `Node2D` - `NavigationLink2D`, `NavigationObstacle2D`, `NavigationRegion2D` are listed back to back, all of them are marked as experimental - Hover over a mark, then hover over another one Minimal reproduction project (MRP) N/A","116374"
"200014","Playing audio with AudioStreamPlayer on web by any means other than play() method ignores volume_db and pitch_scale","Tested versions - Reproducible in: - 4.7.dev1, 4.6.1-stable, 4.6-stable (all tests except for play() ignore pitch_scale on web.","Tested versions - Reproducible in: - 4.7.dev1, 4.6.1-stable, 4.6-stable (all tests except for play() ignore pitch_scale on web. - Export to web and play the scene. This includes: - Autoplay - Looping (in the MRP it starts ignoring after 3 loops, but I've seen it ignore after the first loop in other projects with longer sounds) - AnimationPlayer audio track The intended behavior is for the audio to always play with the `volume_db` and `pitch_scale` settings set by the AudioStreamPlayer. This problem can be avoided by changing the `playback_type` on the AudioStreamPlayer to ""Stream"", which is not the default on web. - Set `autoplay` to `true`. https://github.com/user-attachments/assets/8705ab38-af02-469e-a9ab-edabeb0be204 Steps to reproduce Minimal reproduction (autoplay) - Create an AudioStreamPlayer and load a stream. Live demo here: https://files.fupi.cat/fupicat/etc/web-audio-bugs/index.html Tested on both Firefox and Chrome, same issue on both. Minimal reproduction project (MRP) https://github.com/fupicat/web-audio-bugs AnimationPlayer ignores volume_db too) - 4.5.1-stable, 4.4.1-stable (same as above, but AnimationPlayer also ignores volume_db and pitch_scale on desktop) - 4.3-stable (same as above, but AnimationPlayer ignores volume_db and pitch_scale on web, and only pitch_scale on desktop) - Not reproducible in: 4.2.2-stable (before the Playback Type option was implemented) System information Godot v4.6.1.stable - Windows 11 (build 26200) - Multi-window, 1 monitor - OpenGL 3 (Compatibility) - NVIDIA GeForce RTX 3050 Laptop GPU (NVIDIA; 32.0.15.9174) - AMD Ryzen 7 7435HS (16 threads) - 15.82 GiB memory Issue description On a web export, when playing a sound with an AudioStreamPlayer by any means other than directly using the play() method, the audio ignores the `volume_db` and `pitch_scale` properties. I'm aware that the default Sample playback type has some limitations, however, the inconsistencies between Godot versions and ways of playing sound leads me to believe this is a bug rather than intended behavior. This is also not mentioned as a limitation in the documentation.","117022"
"200015","Fix infinite loop in debugger when script has parse error","If using Godot in a way that doesn't support stdin input (e.g.","If using Godot in a way that doesn't support stdin input (e.g. All investigation, testing, and final decisions were made by me with help from the godot contributors chat (https://chat.godotengine.org/channel/new-contributors/thread/rgiMeto2TytKbxksu) Claude was used to help me navigate and understand the codebase. The resolve adds a check before entering the debugger loop in LocalDebugger::debug() that checks the stdin type, if it is not STD_HANDLE_CONSOLE then the error information is printed and the function returns early. The debugger's main loop calls get_stdin_string() which returns empty immediately when there is no interactive console attached, and feof(stdin) never evaluates to true in this scenario, preventing the quit branch from being reached and causing an infinite loop. The interactive debugger still works correctly when launched via the console wrapper. headless mode, or without the console wrapper on Windows), the interactive debugger gets stuck in an infinite loop when the --debug flag is used and a script has a parse defect Fixes 117123 When a parse error occurs during script loading, debug_break_parse() invokes the local interactive debugger. Tested on Windows with and without --headless, with and without the console wrapper executable.","117876"
"200016","Error ""Can't add animation library twice"" when focus AnimationTree sometimes","Bug report: tested versions - Reproducible 4.6.stable - Not reproducible 4.5.satble System information Windows10 Issue description Regarding the AnimationTreeEditor, an error occurs when focusing the AnimationTree to enable the AnimationTreeEditor.","Tested versions - Reproducible 4.6.stable - Not reproducible 4.5.satble System information Windows10 Issue description Regarding the AnimationTreeEditor, an error occurs when focusing the AnimationTree to enable the AnimationTreeEditor. It can be reproduced always when re-select AnimationTreeEditor after AnimationTreeEditor was hidden due to loss of focus triggered by selecting empty in the Scene Tree dock. Steps to reproduce https://github.com/user-attachments/assets/b54a7434-ddda-489d-aeee-03d0f917accc Minimal reproduction project (MRP) nested_tree.zip","116944"
"200017","Text readability bug in 2D Editor Ruler Mode","Tested versions Found in 4.6, already present in 4.5 System information Godot v4.6.stable - Windows 11 (build 26200) - Multi-window, 1 monitor - Vulkan (Mobile) - integrated Intel(R) Arc(TM) 140V GPU (8GB) (Intel Corporation; 32.0.101.8132) - Intel(R) Core(TM) Ultra 7 256V (8 ...","Tested versions Found in 4.6, already present in 4.5 System information Godot v4.6.stable - Windows 11 (build 26200) - Multi-window, 1 monitor - Vulkan (Mobile) - integrated Intel(R) Arc(TM) 140V GPU (8GB) (Intel Corporation; 32.0.101.8132) - Intel(R) Core(TM) Ultra 7 256V (8 threads) - 15.57 GiB memory problem description In the 2D Editor Ruler Mode, I ran into a problem where the measurement text boxes for hypotenuse and long leg overlap and the text is very hard to read. This happens during trying to measure linear distance at low angles relative to y axis - see attached screenshot. Note the overlap of measurement text boxes. <img width=""290"" height=""406"" alt=""Image"" src=""https://github.com/user-attachments/assets/e10eccd0-7cbf-4609-92fd-70de31fdfc3f"" /> Steps to reproduce 1. Select Ruler Mode. Minimal reproduction project (MRP) Not specific to a project. 4. 3. Desired behavior would be to separate the text boxes. 2. Note that when measuring at low angles relative to x axis, the text placement is more reasonable. Open 2D Editor. Try measuring distance at low angles relative to y axis.","117226"
"200018","GPU Particles 2D subemitters not inheriting the parent velocity","Tested versions - Reproducible in: v4.7-dev3; v4.7.dev.gh-113509 [375321054]; v4.7.dev.gh-117909 [499756d28] - Not Reproducible in: v4.7-dev2; v4.6.2-RC1; and earlier versions.","Tested versions - Reproducible in: v4.7-dev3; v4.7.dev.gh-113509 [375321054]; v4.7.dev.gh-117909 [499756d28] - Not Reproducible in: v4.7-dev2; v4.6.2-RC1; and earlier versions. The problem should be somewhere from PR 113509 and earlier, as that was where I noticed it for the first time. Minimal reproduction project (MRP) GPUParticle2D.SubEmitter.Inherit.Velocity.zip - Disabling ""Keep Velocity"" makes the sub-particles fallback to their velocity, as expected. 4) Enable Process Material > Sub Emitter > Keep Velocity. To test with a new project: 1) Create a 2D GPU particle (A) with some velocity or acceleration. System information Godot v4.7.dev3 - Windows 10 (build 19045) - Multi-window, 1 monitor - Vulkan (Forward+, Mobile) - dedicated NVIDIA GeForce GTX 1650 (NVIDIA; 32.0.15.9186) - AMD Ryzen 7 5700X 8-Core Processor (16 threads) - 31.88 GiB memory problem description 2D sub emitter particles are not inheriting the parent's velocity, neither using their own, they just stay in their spawn location. - Re-enabling keeps using their velocity settings instead of using the parent's. I also tested the Artifacts from 117909, but the bug still persists. 5) B should follow A's velocity, but instead keeps it's own or stays in place. 3) Make B a Sub Emitter of A. This issue seem to be a regression, as it happens on v4.7-Dev3, but not on v4.7-Dev2 and earlier. 2) Create a 2D GPU particle (B) with visibly different velocity/acceleration. - Reopening the editor resets the sub-particles to staying in place. Steps to reproduce The reproduction project has the ""main_2d"" scene that shows the issue, even in the editor. I tested with Velocity, Gravity and Accelerations, none worked. Expected behavior The sub-particles should inherit their parent's velocity at the moment they spawn.","117976"
"200019","Godot recreates existing Function wehn connecting Signal from editor","Tested versions - Reproducible in v4.5.1.stable.mono.official [f62fdbde1] System information Windosw 10 , v4.5.1.stable problem description if connecting the signal ""pressed()"" of a Button via the tab ""Node"" in the Editior , a new function is created in the targeted script, ...","Tested versions - Reproducible in v4.5.1.stable.mono.official [f62fdbde1] System information Windosw 10 , v4.5.1.stable problem description When connecting the signal ""pressed()"" of a Button via the tab ""Node"" in the Editior , a new function is created in the targeted script, even if a function of that name is already present. Steps to reproduce create a UI Button, and a script to a scene. Minimal reproduction project (MRP) h <img width=""1269"" height=""608"" alt=""Image"" src=""https://github.com/user-attachments/assets/24d87844-b2e4-48d6-891b-3f8e3aca1943"" /> <img width=""1655"" height=""754"" alt=""Image"" src=""https://github.com/user-attachments/assets/4ce9661f-3c3d-46d7-8093-89544d49cc26"" /> As you can see in the 3rd image, the Connectoin gets removed. <img width=""1829"" height=""717"" alt=""Image"" src=""https://github.com/user-attachments/assets/935128db-b7c2-4945-89cc-9972359347b1"" /> When trying to add a signal with some Parameter, godot creates again a new function, ,throws the error: "" Cannot connect to 'func_name' : the provided callable is not valid "" and removes the connection. This Error has appeared in the Project, while having not been an defect hours before. This makes it completly impossible to connect a signal to a function taking an argument. Declare a function test(i : int) , and try to connect the Signal ""pressed()"" from the Button to said function. Godot then throws the error that a function of that name is already present.","117980"
"200020","Revert ""Expose `Control.call_gui_input`""","Bug report: this reverts commit 35eabf06b9f676b2e4518cca70d825fd91e09b76 / 116405.","Bug report: this reverts commit 35eabf06b9f676b2e4518cca70d825fd91e09b76 / 116405. This was merged by mistake, there's no consensus yet on the implementation.","117869"
"200021","`Camera2D.position_smoothing_speed`: correct description and fix overshoot bug","In `Camera2D`, the property `position_smoothing_speed` has the following description: > Speed in pixels per second of the camera's smoothing effect if [member position_smoothing_enabled] is [code]true[/code].","In `Camera2D`, the property `position_smoothing_speed` has the following description: > Speed in pixels per second of the camera's smoothing effect if [member position_smoothing_enabled] is [code]true[/code]. This fixes the overshoot bug in a compatible manner. This is easy to trigger by `position_smoothing_speed` to a value higher than the max fps but it can also happen with reasonable values if time delta becomes high enough. If delta increases to 1/60 then the camera moves all the way to the target position, as if with no smoothing. It determines what proportion (not pixels) of the distance between the smoothed_position and the target_position the camera will cover every tick (process or physics depending on configuration). Any consistent drops in framerate that result in a lerping factor above 2 will completely break smoothing since the camera will overshoot more and more each frame as can be observed here: https://github.com/user-attachments/assets/c3112b61-c1b6-412a-88e0-fd3b5ee3e67c **What this PR does** This PR corrects the description of `position_smoothing_speed` to give users a more accurate intuition on what different values do and fixes the overshoot by clamping the calculated lerp factor to 1. That means the camera actually overshoots across the target position and ends at the same distance it was before, causing a constant oscillation. If the framerate drops to 30 a delta of 1/30 will result in a lerping factor of 2. Besides the incorrect description, the approach can cause different behavior, even big glitches depending on framerate: Any time `position_smoothing_speed * delta` ends up being higher than 1.0 we are extrapolating rather than interpolating. A more correct solution would be to use frame-independent interpolation such as exponential decay, as explained here: https://docs.godotengine.org/en/stable/tutorials/math/interpolation.htmlsmoothing-motion (see Note) So far so good. For example, if the camera is set to change on process, and `position_smoothing_speed` is set to 60 then when delta is 1/120 the lerping factor is 0.5 so the camera moves half way to the target position each frame. This doesn't really make sense if we look at the observed behavior and looking at the code we can confirm it's indeed not a velocity at all. From Camera2D::get_camera_transform(): As you can see what we're doing is a simple lerp: `smoothed_pos = lerp(smoothed_pos, target_pos, position_smoothing_speed * delta)` So `position_smoothing_speed` is not in px/s but 1/s and does not determine speed or acceleration, it's just part of a ratio calculation.","117637"
"200022","Problem noted: add standard macOS/Windows menu key bindings to the default input map. Handle menu action in some editor controls.","Adds standard platform specific menu key combinations to the input map: - `Ctrl + Enter` on macOS.","Adds standard platform specific menu key combinations to the input map: - `Ctrl + Enter` on macOS. - `Shift + F10` on Windows. Adds `ui_menu` handling to editor GUI elements not present it (note, some uses of context menus are position specific, and can't be directly handled by the key event): - [x] Editor inspector. - [ ] TODO Partially fixes https://github.com/godotengine/godot/issues/117593","117614"
"200023","Skeleton2D nodes with a non-empty modification_stack cannot be instantiated multiple times in the same scene","Problem noted: problem noted: tested versions v4.6.1.stable.mono.official.14d19694e System information Winwos11 - Godot v4.6.1.stable.mono.official.14d19694e - Vulkan 1.4.312 (Forward+) - NVIDIA GeForce RTX 3060 Laptop GPU bug description When a scene containing a Skeleton2D child node, whos...","Problem noted: tested versions v4.6.1.stable.mono.official.14d19694e System information Winwos11 - Godot v4.6.1.stable.mono.official.14d19694e - Vulkan 1.4.312 (Forward+) - NVIDIA GeForce RTX 3060 Laptop GPU bug description When a scene containing a Skeleton2D child node, whose Skeleton2D node's modification_stack property is not empty, is instantiated multiple times in other scenes, a large number of duplicate error messages will be output, all stating ""ERROR: Drawing is only allowed inside this node's _draw(), functions connected to its draw signal, or when it receives NOTIFICATION_DRAW."" At this time, the editor becomes abnormally laggy, the 2D skeletal animation exhibits many anomalies, and sometimes the editor even crashes directly and becomes unresponsive. Steps to reproduce 1. **Reproduce the issue** - Run the test scene - Observe the console output - The following error will spam repeatedly: - The editor will become extremely laggy - 2D skeletal animations will display abnormally - In severe cases, the editor may crash or become unresponsive 4. **Actual behavior:** - Multiple instances of the same scene cause continuous error spam - Editor performance degrades significantly - Skeletal animations fail to render correctly - Editor may crash when multiple instances are active - Setting `resource_local_to_scene = true` on the SkeletonModificationStack2D resource resolves the issue Minimal reproduction project (MRP) Test4.6.zip **Expected behavior:** - No error messages - Smooth editor performance - Normal skeletal animation display 5. **Create a test scene** - Create a new scene with a Node2D as root - Instance `skeleton_scene.tscn` multiple times (at least 2-3 instances) as children 3. <img width=""2559"" height=""1522"" alt=""Image"" src=""https://github.com/user-attachments/assets/ea002a21-5468-4817-b41f-df799c47015b"" /> But if you set the `resource_local_to_scene` property of the SkeletonModificationStack2D resource to true, this problem will not occur. **Create a Skeleton2D scene** - Create a new scene with a Node2D as root - Add a Skeleton2D node as child - Add a SkeletonModificationStack2D resource to the Skeleton2D node's `modification_stack` property - Add at least one modification (e.g., SkeletonModification2DLookAt) - Save this scene as `skeleton_scene.tscn` 2.","117090"
"200024","RichTextLabel Image width percentage not implemented as in reference","Tested versions Tested and reproduced in Godot 4.6, 4.6.1, 4.5.1 and 4.7 dev1.","Tested versions Tested and reproduced in Godot 4.6, 4.6.1, 4.5.1 and 4.7 dev1. System information Fedora - Godot 4.6 - Compatability defect description Flagged as a bug report instead of feature suggestion, as while I don't believe it is a regression, or a classic bug, the behavior is different from the description of the bbcode implementation in the docs. When specifying the width of an image in bbcode with `[img=100%]{path}[/img]`, the number gets interpreted as pixel,s instead of the expected behavior as percentage of label width. Behavior of `[img width=100%]{path}[/img]` is correct. <img width=""1920"" height=""1048"" alt=""Screenshot of property not working for implicit width, but working when specified as an option"" src=""https://github.com/user-attachments/assets/f2e18c2f-7286-40b8-a0a2-441364e8a64f"" /> Steps to reproduce New Project -> Add Image (example) to project -> Add Control Node and RichTextLabel as a child -> make it take up the entire screen -> Enable `bbcode_enables` -> Add the following text: Minimal reproduction project (MRP) MRP-bbcode.zip","116927"
"200025","`Texture2D.draw_rect` rendering at low resolution and with dark outline on HiDPI displays","Issue observed: issue observed: bug report: tested versions - Reproducible in v4.7.dev [2af785641ae249573f45eb61852d22e0b1a8a03c] - Reproducible in v4.6.1.stable.official [14d19694e] System information Godot v4.7.dev (a761ad537) - macOS Tahoe (26.3.1) - Multi-window, 2 monitors - OpenGL 3 (Co...","Issue observed: bug report: tested versions - Reproducible in v4.7.dev [2af785641ae249573f45eb61852d22e0b1a8a03c] - Reproducible in v4.6.1.stable.official [14d19694e] System information Godot v4.7.dev (a761ad537) - macOS Tahoe (26.3.1) - Multi-window, 2 monitors - OpenGL 3 (Compatibility) - Apple M4 Pro - Apple M4 Pro (14 threads) - 24.00 GiB memory Issue description Attempting to draw an SVG texture on a HiDPI display using the `Texture2D.draw_rect()` method gives a blurry result. Here is an example from my code actions PR: <img width=""293"" height=""106"" alt=""Image"" src=""https://github.com/user-attachments/assets/f44bec65-273d-4746-855a-4a48d736e83a"" /> In addition, when the editor is in light mode, there is some strange gray outline around the icon (perhaps due to some antialiasing technique?): <img width=""314"" height=""108"" alt=""Image"" src=""https://github.com/user-attachments/assets/955e2542-2bd2-47e7-8ffe-bf302f67d7dc"" /> Both of these are the result of the following C++ code: with `p_canvas_item` being the output of `TextEdit.get_text_canvas_item()` and `use_color` being the yellow color of the icon. Steps to reproduce Attempt to call the `Texture2D.draw_rect()` method with a small SVG icon on a HiDPI screen. The icon will appear blurry/pixellated. If drawn on a light background, dark artifacts will be visible around the icon. Minimal reporduction project (MRP) The call to `draw_rect()` in my code actions PR is here: https://github.com/Meorge/godot/blob/a761ad5374bc4cf0559039b417be3f25669bfbcb/scene/gui/code_edit.cppL490 I've also attempted to create an MRP using pure GDScript. It renders the same lightbulb icon using several different methods. In the `draw_rect()` method (and related methods), the same resolution and artifact issues can be seen: mrp-draw-texture_2026-03-29_21-02-45.zip","117988"
